Òèðàæ;Øàð 1;Øàð 2;Øàð 3;Øàð 4;Øàð 5;Øàð 6;Øàð 7;Øàð 8;Øàð 9;Øàð 10;Øàð 11;Øàð 12;Øàð 13;Øàð 14;Øàð 15;Øàð 16;Øàð 17;Øàð 18;Øàð 19;Øàð 20
78;50;43;19;40;21;38;18;16;48;55;30;46;32;15;52;33;59;45;27;20
79;9;42;27;3;32;53;34;1;57;4;30;8;48;11;43;52;23;54;24;21
80;43;7;16;57;4;13;50;24;35;12;29;46;55;6;23;17;9;22;5;52
81;42;4;53;7;30;39;26;8;23;57;47;56;49;12;45;25;46;29;16;44
82;23;2;28;1;18;45;16;13;9;3;31;52;60;59;51;6;53;47;41;55
83;28;26;49;37;55;21;11;12;13;17;19;52;34;53;4;6;1;48;35;2
84;20;16;4;57;12;29;23;41;37;31;13;44;60;30;42;33;43;18;36;15
85;13;21;40;17;27;18;35;60;22;19;6;36;38;9;23;33;55;4;29;53
86;47;28;33;56;12;8;19;42;41;31;38;22;36;60;55;32;45;4;25;14
87;23;21;49;58;18;15;20;50;40;11;54;10;48;45;35;42;38;55;59;33
88;15;35;46;13;26;9;50;25;18;16;57;49;2;51;58;20;36;31;33;56
89;35;48;20;40;32;57;37;13;51;22;25;12;31;30;49;42;38;36;43;59
90;52;18;3;7;1;30;32;10;31;24;50;2;15;34;37;23;36;53;57;39
91;4;44;28;13;43;25;31;9;21;7;26;17;59;1;15;53;56;18;16;36
92;31;7;36;51;40;34;12;33;15;48;59;43;53;57;55;11;6;56;18;39
93;46;45;37;27;34;20;11;38;55;56;40;7;44;5;51;12;9;47;36;25
94;7;6;56;10;50;40;27;3;59;33;51;39;28;4;17;8;45;9;21;12
95;41;23;14;52;40;26;12;57;48;33;19;24;13;34;29;50;22;56;11;8
96;40;47;53;43;16;3;6;20;59;21;17;7;18;19;15;36;10;8;34;2
97;1;56;60;47;17;53;44;39;6;5;52;22;50;34;13;27;9;42;41;25
98;10;33;9;45;7;30;48;39;37;6;57;55;24;5;17;8;41;13;54;59
99;35;57;5;47;52;54;40;6;26;51;41;55;38;28;10;39;24;46;48;49
100;9;1;6;7;25;59;46;34;28;45;10;11;20;48;23;21;49;32;42;36
101;40;14;4;45;5;10;23;47;22;12;58;43;27;24;35;41;53;33;30;11
102;59;7;11;33;51;43;42;49;2;25;57;44;19;55;17;14;56;16;40;45
103;41;38;29;9;21;32;59;19;58;5;44;24;4;27;42;36;28;13;47;39
104;4;44;22;37;9;8;31;51;49;54;23;50;21;17;12;28;57;56;59;42
105;10;60;27;47;51;49;1;52;3;44;23;5;7;37;50;13;57;29;34;59
106;52;59;9;15;11;31;4;56;58;16;36;42;3;28;40;2;49;47;34;51
107;12;14;51;33;28;59;15;31;24;21;36;38;43;30;53;49;17;18;32;46
108;35;26;54;15;51;31;52;7;27;1;4;13;46;32;25;45;20;12;37;19
109;59;56;10;27;13;1;60;38;28;37;50;6;15;43;54;48;14;7;52;34
110;33;1;18;16;51;8;20;52;32;21;15;59;10;2;46;50;19;5;4;60
111;16;7;3;45;26;13;14;41;59;15;35;4;37;1;34;8;52;48;22;20
112;59;18;33;17;26;4;9;3;32;29;55;23;47;51;20;54;41;15;2;44
113;32;2;42;31;45;53;46;38;48;37;8;50;14;24;22;49;20;34;56;23
114;60;31;29;34;33;56;7;18;11;10;40;17;52;8;43;1;13;6;45;25
115;44;37;35;10;2;31;54;40;57;5;50;25;59;17;19;46;27;58;49;33
116;39;43;49;47;29;9;32;15;2;31;33;12;46;5;23;20;45;41;25;53
117;39;16;31;12;3;28;9;50;11;15;41;51;59;58;22;37;21;46;10;33
118;2;58;20;15;13;29;21;38;36;6;3;53;39;46;27;41;16;42;47;12
119;47;24;39;46;44;53;28;51;6;57;52;36;2;15;54;14;35;11;13;42
120;48;4;2;28;18;20;14;46;39;55;1;7;32;49;5;37;35;23;45;52
121;47;2;55;42;18;34;5;23;33;10;4;57;40;7;1;3;41;44;21;25
122;56;52;39;3;23;34;45;53;18;14;36;59;26;12;58;11;5;22;40;16
123;33;27;17;31;10;19;38;1;25;5;36;20;16;37;6;40;34;54;15;44
124;38;32;40;14;5;27;47;50;44;11;58;16;55;24;17;25;1;6;53;9
125;34;38;44;43;15;46;14;9;42;17;57;37;19;13;7;49;3;29;27;48
126;28;20;56;52;29;21;18;16;5;55;50;11;34;35;36;37;53;49;47;2
127;25;47;42;13;10;44;6;35;38;11;8;41;53;45;23;5;3;31;17;22
128;9;47;36;17;60;31;11;58;22;21;30;33;48;14;32;4;40;37;3;25
129;1;27;19;54;48;58;25;30;7;42;10;13;21;35;12;49;43;32;55;36
130;43;44;42;3;22;28;14;29;52;9;27;36;53;10;33;17;25;55;13;20
131;57;16;24;55;3;44;58;14;26;43;9;23;53;10;27;11;40;31;51;29
132;18;48;60;55;16;7;59;49;25;40;20;3;43;17;22;12;37;39;35;34
133;58;8;49;12;44;35;24;46;14;54;56;43;60;13;55;39;53;59;1;25
134;23;21;26;38;57;51;58;18;2;35;40;45;8;9;44;29;27;11;5;54
135;31;15;43;41;17;1;10;19;25;32;23;24;4;34;51;13;58;49;14;39
136;39;42;37;46;30;38;55;35;4;40;48;6;26;49;54;10;29;60;51;53
137;31;30;16;27;18;37;42;40;26;33;14;55;8;17;44;21;23;5;12;3
138;1;32;46;18;27;23;45;10;57;36;14;12;38;41;59;55;21;7;2;51
139;32;29;36;41;45;27;30;15;20;9;48;49;44;51;1;57;26;11;50;58
140;29;48;51;24;41;11;36;45;28;18;5;44;17;39;10;4;49;56;22;6
141;18;46;10;52;1;7;29;53;12;33;48;24;37;55;34;40;41;31;56;23
142;8;43;6;41;4;59;42;37;60;57;10;56;26;39;1;33;11;49;12;16
143;54;7;9;42;44;10;12;25;36;39;8;15;55;14;4;47;13;29;33;23
144;57;19;34;31;27;10;14;55;52;56;8;39;24;22;60;6;54;7;23;12
145;48;7;24;41;33;58;43;35;45;12;56;17;6;23;53;20;10;15;5;2
146;36;34;20;37;48;12;38;60;23;22;26;8;47;46;28;29;51;59;17;14
147;56;19;34;22;47;35;11;6;37;45;49;60;10;4;44;59;9;42;1;21
148;53;55;32;46;34;1;12;51;60;14;18;11;56;15;35;45;52;44;38;22
149;58;45;52;24;41;31;1;50;37;12;51;40;60;49;11;28;13;3;22;4
150;43;57;12;9;10;2;1;56;33;24;3;34;23;55;5;26;49;20;44;40
151;8;17;26;24;2;60;56;46;28;5;52;35;3;44;13;18;31;45;21;36
152;10;47;25;31;8;55;45;48;46;9;22;56;23;36;2;15;59;24;30;42
153;23;57;3;49;9;26;11;18;6;8;43;58;30;17;54;21;36;25;22;45
154;57;19;49;2;33;45;47;54;9;23;58;29;5;13;53;48;3;10;55;27
155;25;17;12;35;15;50;5;4;42;30;14;16;32;2;33;52;11;57;44;29
156;44;54;38;53;52;32;11;23;13;58;43;34;46;19;10;47;5;7;35;16
157;37;33;12;38;58;39;23;20;8;52;30;22;19;32;55;51;11;4;27;48
158;8;38;23;30;16;11;56;59;41;32;18;37;53;46;50;43;1;2;55;44
159;8;40;50;47;31;21;7;23;51;27;2;32;58;15;18;45;30;5;20;49
160;57;20;43;19;32;9;52;5;54;58;36;22;1;41;56;39;11;15;30;25
161;23;32;29;60;31;18;21;59;19;50;46;49;1;9;12;16;36;43;58;41
162;58;46;16;1;52;55;28;27;26;29;43;34;47;35;54;13;6;7;38;22
163;44;15;41;16;19;11;14;2;59;29;50;49;52;23;47;42;13;35;5;1
164;29;8;37;60;42;12;25;40;41;23;35;53;9;48;43;31;34;1;59;13
165;37;14;6;25;17;16;4;35;27;30;60;48;19;43;28;46;55;36;34;58
166;10;46;44;21;12;37;24;31;43;33;38;36;6;55;30;3;35;45;50;57
167;14;7;1;51;43;13;57;18;49;28;4;23;35;8;21;31;47;20;22;3
168;23;2;14;41;6;53;42;10;47;7;28;43;13;1;3;39;40;36;48;45
169;24;27;42;1;44;18;45;15;22;38;49;14;32;4;52;60;13;51;5;20
170;13;49;3;10;45;19;4;25;14;59;46;11;31;40;9;6;43;54;24;51
171;35;7;48;46;40;21;14;60;13;25;57;39;3;11;47;1;55;16;27;43
172;30;10;35;52;33;29;48;50;1;14;2;6;22;51;31;39;45;7;17;25
173;32;35;34;47;41;20;45;19;38;51;40;60;24;27;58;11;12;23;1;42
174;8;39;11;45;40;49;60;10;17;57;48;27;37;54;29;55;7;3;33;41
175;35;22;36;37;23;56;32;5;53;2;30;4;34;11;49;55;47;3;39;33
176;56;32;25;33;42;27;34;49;13;15;53;8;4;2;10;1;11;21;12;46
177;20;10;25;17;35;52;56;58;40;16;50;39;27;55;60;29;31;34;44;43
178;9;33;60;17;13;18;29;38;5;31;14;51;4;39;43;48;28;19;54;32
179;56;33;47;26;2;25;16;24;27;14;22;39;7;17;55;21;41;44;5;3
180;28;4;34;53;18;11;60;56;23;7;27;1;19;6;40;24;42;52;14;55
181;40;3;26;49;22;55;14;2;29;46;5;10;42;60;20;35;57;44;18;4
182;7;50;15;52;4;13;37;46;17;35;9;25;60;32;29;2;21;14;20;28
183;32;55;38;37;40;47;14;56;28;15;52;39;43;1;58;48;21;60;22;59
184;41;31;2;18;43;50;49;42;51;5;35;32;58;38;47;59;29;21;53;3
185;24;38;51;5;10;48;19;58;59;2;14;50;42;43;11;9;56;27;34;49
186;49;12;37;38;45;11;7;41;48;53;8;15;2;34;39;52;17;14;33;21
187;50;27;38;3;2;28;46;23;30;43;33;12;34;17;51;52;36;59;26;53
188;19;20;25;22;11;27;39;15;24;50;44;14;12;37;45;40;17;46;18;4
189;55;40;28;3;43;9;14;49;32;27;34;39;56;8;57;59;12;15;30;38
190;21;27;54;43;2;16;24;59;23;33;57;50;5;60;10;13;52;48;18;37
191;56;43;48;23;21;25;9;32;59;4;12;2;44;24;20;15;6;16;51;42
192;28;40;41;6;42;54;2;11;35;59;13;17;29;4;36;34;47;15;10;56
193;33;43;12;51;13;4;60;42;47;3;39;32;16;57;35;31;21;45;44;5
194;25;15;1;55;40;60;18;14;52;39;23;12;20;24;41;11;57;51;17;6
195;2;56;8;34;15;32;43;11;6;33;55;25;9;19;58;28;22;12;46;16
196;17;28;32;54;19;6;10;1;41;12;48;16;47;5;3;40;44;7;35;39
197;28;3;2;35;50;9;52;45;44;32;8;55;26;10;53;41;4;17;11;39
198;6;23;19;14;3;36;49;13;46;55;7;30;9;15;4;59;40;39;45;57
199;47;53;44;43;34;51;38;54;30;23;33;2;13;60;11;52;41;50;21;31
200;51;54;2;55;8;47;46;5;13;40;27;34;4;21;31;39;53;59;58;20
201;34;50;8;49;13;47;55;26;44;40;51;22;57;4;31;52;5;45;56;39
202;45;8;23;60;51;2;15;11;20;52;29;22;10;30;33;4;21;26;42;59
203;19;3;50;26;21;18;40;57;30;23;39;49;15;2;58;60;42;20;12;29
204;33;57;48;44;26;14;38;52;16;3;50;54;27;13;40;46;34;36;53;60
205;36;35;40;18;46;37;38;51;15;8;48;5;7;39;13;32;4;58;60;23
206;35;46;41;25;56;19;53;4;37;51;7;31;10;40;34;47;9;1;28;45
207;35;25;24;34;17;37;18;11;16;53;46;50;60;9;36;43;5;2;42;7
208;26;41;43;60;40;56;12;22;23;28;42;53;24;48;57;6;39;30;29;13
209;42;27;10;1;40;6;25;41;46;52;39;8;58;33;18;5;45;57;29;16
210;30;49;9;40;3;36;32;34;27;18;22;58;13;25;51;6;35;55;57;33
211;10;38;20;12;47;3;5;49;36;51;23;32;24;46;33;39;4;16;11;57
212;42;5;56;34;24;3;12;49;21;46;11;55;27;8;36;18;23;48;54;57
213;28;35;54;27;5;2;13;25;45;26;52;44;43;47;3;32;23;33;21;41
214;26;9;55;16;28;4;31;14;5;29;21;47;17;12;60;42;6;20;11;50
215;20;5;4;47;45;37;41;27;33;58;48;3;13;6;19;25;26;16;42;44
216;24;41;12;54;57;9;34;20;28;22;45;23;55;5;43;2;17;1;13;50
217;6;60;36;21;41;57;8;39;32;50;59;23;43;24;28;55;9;30;20;38
218;56;16;57;37;4;50;33;2;54;19;20;26;21;6;49;29;32;45;9;46
219;33;54;17;21;4;51;32;50;18;37;53;22;26;27;28;38;47;42;19;48
220;48;26;51;27;30;16;34;38;56;43;59;1;53;17;52;11;31;49;46;54
221;48;19;10;23;27;53;29;30;34;57;5;14;3;22;58;17;8;45;52;55
222;41;38;31;51;2;55;44;35;28;20;23;60;36;46;43;5;19;10;50;9
223;3;54;8;6;20;36;49;32;12;58;33;56;4;55;21;23;35;53;60;2
224;39;41;10;24;38;9;5;3;8;31;32;47;15;25;59;55;48;46;21;12
225;38;28;26;44;25;46;18;45;6;15;27;10;30;20;36;8;57;31;22;34
226;10;57;7;3;59;51;42;4;11;34;29;28;27;31;24;2;50;12;55;21
227;36;35;53;50;43;15;38;48;28;56;27;33;22;34;18;52;23;4;39;51
228;54;13;7;25;6;28;30;42;4;34;20;41;38;8;48;32;9;27;56;17
229;49;6;31;54;45;5;51;19;23;46;27;44;14;20;52;1;34;50;11;7
230;27;46;57;16;7;56;19;11;60;53;22;28;24;29;44;5;37;8;58;43
231;10;3;53;42;11;28;37;36;15;58;44;14;41;51;55;31;59;32;7;43
232;5;33;26;45;15;9;8;34;17;30;57;4;29;31;35;40;44;46;52;18
233;58;44;5;51;19;57;16;10;12;60;50;29;59;35;30;48;39;38;3;46
234;14;39;29;46;41;60;47;7;22;49;44;32;15;40;33;12;2;38;4;10
235;27;34;14;42;56;43;3;28;45;40;13;58;15;4;51;24;23;54;44;31
236;5;58;24;6;49;13;19;47;44;26;57;56;3;32;1;48;37;11;2;51
237;25;15;1;59;49;44;10;6;48;55;9;13;41;51;35;42;14;24;39;12
238;16;31;15;34;47;53;33;46;45;40;54;13;38;52;22;17;20;18;9;50
239;37;33;28;56;10;39;22;5;17;44;54;55;3;20;48;52;50;49;53;19
240;15;42;41;4;45;32;33;46;54;18;38;19;48;6;34;12;55;57;1;25
241;56;23;19;3;50;13;8;7;24;9;4;5;18;37;53;47;43;32;39;21
242;35;15;7;6;17;32;49;30;54;3;43;13;50;47;46;60;56;27;45;57
243;43;9;44;28;29;35;31;10;15;20;12;17;30;50;27;18;57;36;11;38
244;47;35;60;16;9;36;1;17;42;39;58;12;45;27;3;24;13;38;53;28
245;40;36;50;31;45;34;59;25;1;39;47;22;14;46;43;58;42;19;51;24
246;22;52;37;50;51;45;41;57;56;5;8;23;53;11;32;34;17;30;6;40
247;5;43;41;24;59;6;16;13;27;2;44;53;29;1;30;28;10;9;45;40
248;8;37;26;40;36;6;48;15;39;16;29;53;51;58;7;10;24;2;25;50
249;44;58;15;13;28;51;8;49;54;36;55;50;29;34;11;30;9;37;41;4
250;53;11;29;17;48;37;13;21;6;10;26;35;36;16;25;27;39;2;34;38
251;14;49;52;56;4;25;50;31;19;5;32;39;21;18;33;17;27;29;34;13
252;39;18;32;19;37;9;45;3;47;40;25;21;49;8;16;54;56;31;34;12
253;25;5;7;24;32;19;38;58;42;56;11;36;37;54;47;48;31;43;8;49
254;59;24;40;19;20;50;54;43;35;55;37;3;2;18;15;48;11;4;10;47
255;49;18;60;25;52;44;54;24;38;56;19;23;36;5;55;45;41;29;39;53
256;60;42;15;13;33;19;48;28;6;50;16;12;53;52;40;4;49;30;36;46
257;21;60;55;8;7;56;41;4;30;34;28;32;13;49;18;58;27;57;9;45
258;3;1;18;6;19;31;8;45;12;5;38;17;14;48;33;15;47;46;44;56
259;57;43;41;18;19;42;16;13;27;23;1;55;30;46;50;6;40;39;35;29
260;6;56;55;3;11;36;2;32;18;25;31;39;45;15;19;60;30;5;38;50
261;1;38;32;46;47;30;55;43;33;6;34;11;26;13;60;44;31;39;19;3
262;50;26;52;39;28;38;7;54;18;58;16;27;11;31;17;34;20;24;33;49
263;37;14;9;18;55;45;39;33;22;57;44;23;46;7;16;29;36;12;35;31
264;14;20;8;52;46;57;32;1;58;27;53;18;25;7;21;4;54;43;3;48
265;27;49;1;42;29;57;59;24;34;20;43;13;19;2;22;15;25;38;45;50
266;6;10;53;2;44;19;39;57;29;13;43;52;30;7;45;11;14;59;5;3
267;37;29;18;34;16;10;52;20;51;24;27;59;32;5;13;7;35;48;9;21
268;17;23;26;2;3;37;32;43;60;1;25;15;54;51;29;40;59;48;42;14
269;56;9;20;38;49;44;30;57;11;52;33;5;46;24;41;13;60;29;43;23
270;51;57;14;5;49;36;17;35;26;50;54;52;56;39;7;58;25;27;47;23
271;1;36;27;44;3;9;26;25;59;22;54;38;33;7;56;45;32;47;34;19
272;18;35;44;54;60;48;24;33;38;5;47;12;8;28;59;40;2;26;43;50
273;57;54;34;25;35;20;53;50;51;24;42;2;38;12;7;17;56;3;55;32
274;43;49;52;54;24;44;57;35;30;59;9;58;37;18;11;5;33;39;28;27
275;36;15;41;14;4;49;8;38;60;25;18;44;2;54;23;9;7;47;45;40
276;13;40;42;60;57;18;44;34;38;16;45;30;23;26;46;14;20;59;41;6
277;60;5;4;30;7;20;6;17;31;25;19;46;3;59;48;37;24;45;2;34
278;22;52;35;48;46;32;21;44;49;29;55;42;19;50;24;16;40;8;30;58
279;18;57;45;49;52;1;53;42;58;2;44;28;25;11;31;36;34;16;54;6
280;18;29;12;42;52;43;35;31;56;4;49;59;14;15;19;3;1;30;13;11
281;53;59;44;58;23;56;1;42;32;41;31;46;21;29;22;20;14;13;12;16
282;13;23;37;8;28;27;22;52;54;43;41;32;25;18;4;29;30;38;16;26
283;46;54;39;12;27;58;5;47;8;41;22;16;49;35;51;24;43;10;50;15
284;7;25;16;27;60;15;55;6;1;20;13;21;26;18;2;42;24;36;5;23
285;48;29;31;34;37;22;6;44;55;8;16;18;17;58;11;13;57;14;21;60
286;42;49;38;3;32;22;26;39;9;1;52;8;20;23;14;47;53;13;36;5
287;47;52;43;54;14;12;35;48;3;6;28;26;33;23;37;24;53;4;17;51
288;4;37;55;13;43;38;3;32;57;46;5;42;21;14;54;25;12;7;44;41
289;43;32;52;22;13;5;57;8;19;2;1;56;10;51;26;25;47;17;3;20
290;46;45;35;12;3;57;21;1;30;27;26;52;7;8;29;15;2;6;48;9
291;56;14;35;16;33;53;51;36;9;40;24;15;38;5;10;46;34;55;11;50
292;7;27;39;9;5;58;54;3;46;37;59;56;38;11;31;22;47;43;53;17
293;51;48;59;38;21;3;6;55;17;40;47;57;9;43;58;52;5;11;42;27
294;39;35;20;47;53;56;19;54;3;29;51;33;57;37;15;42;28;38;45;4
295;5;51;32;15;41;24;4;37;20;57;33;59;8;22;53;9;28;49;11;39
296;52;35;43;1;59;54;9;15;58;28;31;40;56;49;2;27;17;23;4;11
297;39;40;53;43;32;13;2;51;28;18;15;16;29;49;57;20;7;12;24;52
298;51;29;38;55;2;4;49;46;40;31;23;45;50;54;32;20;6;8;48;42
299;41;31;36;16;48;19;46;18;20;51;8;25;38;37;33;22;34;10;24;2
300;52;6;5;1;44;42;45;33;20;13;40;4;48;35;51;18;24;38;49;7
301;43;37;6;4;35;40;8;29;27;39;20;44;46;10;21;59;18;28;34;5
302;35;26;47;12;32;53;41;59;21;58;45;8;11;15;50;9;20;51;18;4
303;16;22;33;14;60;20;40;43;10;27;25;6;52;36;56;41;44;59;23;50
304;25;13;3;10;11;21;5;57;41;27;56;7;14;2;31;42;30;29;53;22
305;14;26;33;44;59;11;50;15;49;30;54;28;53;21;18;7;55;47;20;43
306;31;35;21;51;41;9;6;30;39;52;48;57;46;33;37;28;2;5;50;60
307;60;30;44;13;10;34;37;59;5;16;33;11;28;50;7;47;58;46;20;23
308;58;15;47;17;4;23;44;55;59;2;9;20;8;3;38;35;28;19;60;22
309;1;28;10;15;34;21;30;6;55;17;58;32;42;36;20;4;2;26;60;47
310;21;28;49;10;54;32;24;2;3;29;46;52;4;44;20;37;25;55;19;56
311;38;7;32;49;4;3;39;25;47;17;15;31;55;13;19;30;24;40;57;11
312;8;3;39;9;51;14;33;54;7;42;29;52;1;43;35;56;53;55;57;41
313;1;3;45;52;34;22;55;32;56;58;11;13;46;53;57;21;49;36;10;12
314;60;54;44;37;21;1;43;53;28;38;50;31;7;57;55;11;29;16;15;17
315;30;54;29;16;18;47;27;34;1;33;40;42;28;56;46;37;17;12;14;53
316;12;38;44;36;18;15;41;53;21;40;58;32;31;4;1;46;13;3;20;11
317;3;18;39;17;46;41;34;31;40;56;35;48;25;33;57;28;42;16;45;37
318;12;53;27;49;40;35;57;60;5;25;44;37;14;15;8;47;46;10;39;51
319;26;2;21;60;12;24;4;52;23;59;1;6;41;48;27;46;56;57;44;49
320;25;7;13;5;54;12;46;42;17;58;6;22;11;48;47;20;59;41;29;10
321;15;43;32;25;41;16;50;17;53;30;3;56;35;44;59;38;60;58;24;5
322;16;2;57;6;42;45;12;14;28;34;39;7;11;55;13;35;18;15;31;43
323;9;17;59;5;27;15;48;25;36;3;4;50;19;37;41;14;20;51;40;13
324;41;10;7;56;47;24;12;18;40;59;31;42;20;1;14;17;32;16;44;48
325;38;25;15;3;1;47;52;48;30;60;58;20;23;13;53;18;41;33;24;5
326;42;31;3;6;34;28;20;52;59;12;47;45;48;46;14;53;4;8;55;7
